din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-01-03 17:00:00;N;NORTE;NE;NORDESTE;981.15000000
2024-01-03 17:00:00;N;NORTE;SE;SUDESTE;-1535.89600000
2024-01-03 17:00:00;NE;NORDESTE;SE;SUDESTE;-730.97800000
2024-01-03 17:00:00;SE;SUDESTE;S;SUL;-3184.00900000
2024-01-03 18:00:00;N;NORTE;NE;NORDESTE;1229.65200000
2024-01-03 18:00:00;N;NORTE;SE;SUDESTE;-1673.86600000
2024-01-03 18:00:00;NE;NORDESTE;SE;SUDESTE;-876.40200000
2024-01-03 18:00:00;SE;SUDESTE;S;SUL;-3465.75200000
2024-01-03 19:00:00;N;NORTE;NE;NORDESTE;1158.77000000
2024-01-03 19:00:00;N;NORTE;SE;SUDESTE;-1619.37600000
2024-01-03 19:00:00;NE;NORDESTE;SE;SUDESTE;-569.76300000
2024-01-03 19:00:00;SE;SUDESTE;S;SUL;-3356.61700000
2024-01-03 20:00:00;N;NORTE;NE;NORDESTE;1506.91400000
2024-01-03 20:00:00;N;NORTE;SE;SUDESTE;-1457.02200000
2024-01-03 20:00:00;NE;NORDESTE;SE;SUDESTE;-469.42100000
2024-01-03 20:00:00;SE;SUDESTE;S;SUL;-2935.30600000
2024-01-03 21:00:00;N;NORTE;NE;NORDESTE;1677.55200000
2024-01-03 21:00:00;N;NORTE;SE;SUDESTE;-1871.53500000
2024-01-03 21:00:00;NE;NORDESTE;SE;SUDESTE;-1070.42600000
2024-01-03 21:00:00;SE;SUDESTE;S;SUL;-3169.02900000
2024-01-03 22:00:00;N;NORTE;NE;NORDESTE;1887.70300000
2024-01-03 22:00:00;N;NORTE;SE;SUDESTE;-2496.23600000
2024-01-03 22:00:00;NE;NORDESTE;SE;SUDESTE;-1886.23500000
2024-01-03 22:00:00;SE;SUDESTE;S;SUL;-3698.96000000
2024-01-03 23:00:00;N;NORTE;NE;NORDESTE;2446.82700000
2024-01-03 23:00:00;N;NORTE;SE;SUDESTE;-3786.10800000
2024-01-03 23:00:00;NE;NORDESTE;SE;SUDESTE;-2623.25600000
2024-01-03 23:00:00;SE;SUDESTE;S;SUL;-4220.59800000
2024-01-04 00:00:00;N;NORTE;NE;NORDESTE;2742.13800000
2024-01-04 00:00:00;N;NORTE;SE;SUDESTE;-4328.50100000
2024-01-04 00:00:00;NE;NORDESTE;SE;SUDESTE;-2880.08000000
2024-01-04 00:00:00;SE;SUDESTE;S;SUL;-4759.35999999
2024-01-04 01:00:00;N;NORTE;NE;NORDESTE;2860.85400000
2024-01-04 01:00:00;N;NORTE;SE;SUDESTE;-4291.35300000
2024-01-04 01:00:00;NE;NORDESTE;SE;SUDESTE;-3068.31000000
2024-01-04 01:00:00;SE;SUDESTE;S;SUL;-5282.52499999
2024-01-04 02:00:00;N;NORTE;NE;NORDESTE;3184.22700000
2024-01-04 02:00:00;N;NORTE;SE;SUDESTE;-4345.15700000
2024-01-04 02:00:00;NE;NORDESTE;SE;SUDESTE;-3119.50500000
